,title,price,location,living_space,plot_area,rooms,broker,link,coordinates,latitude,longitude
0,Nassaulaan 54,339.000 k.k.,"Nassaulaan 54, 8071 NB Nunspeet",113 m^2,145 m^2,5,Kok & Heijkamp Makelaars,https://www.funda.nl/koop/nunspeet/huis-88116275-nassaulaan-54/,"54, Nassaulaan, Nunspeet, Gelderland, Nederland, 8071NB, Nederland",52.3814991,5.7764672
1,Whemelaan 5,595.000 k.k.,"Whemelaan 5, 8071 GZ Nunspeet",121 m^2,405 m^2,5,Makelaardij Van de Weerd,https://www.funda.nl/koop/nunspeet/huis-42759661-whemelaan-5/,"5, Whemelaan, Nunspeet, Gelderland, Nederland, 8071GZ, Nederland",52.3774714,5.7851486
2,Van Karnebeekstraat 44,299.000 k.k.,"Van Karnebeekstraat 44, 8072 BP Nunspeet",128 m^2,155 m^2,5,Kok & Heijkamp Makelaars,https://www.funda.nl/koop/nunspeet/huis-88113083-van-karnebeekstraat-44/,"44, Van Karnebeekstraat, Oosteinde, Nunspeet, Gelderland, Nederland, 8072BP, Nederland",52.3829558,5.8086696
3,Ben Viegersstraat 38,395.000 k.k.,"Ben Viegersstraat 38, 8072 ZH Nunspeet",132 m^2,221 m^2,6,Van de Loosdrecht WBM B.V.,https://www.funda.nl/koop/nunspeet/huis-42644513-ben-viegersstraat-38/,"38, Ben Viegersstraat, Nunspeet, Gelderland, Nederland, 8072ZH, Nederland",52.3871256,5.7969726
4,Van Karnebeekstraat 41,275.000 k.k.,"Van Karnebeekstraat 41, 8072 BM Nunspeet",115 m^2,148 m^2,5,Kok & Heijkamp Makelaars,https://www.funda.nl/koop/nunspeet/huis-88006393-van-karnebeekstraat-41/,"41, Van Karnebeekstraat, Oosteinde, Nunspeet, Gelderland, Nederland, 8072BM, Nederland",52.3831063,5.80777
5,Oosterlaan 100,469.000 k.k.,"Oosterlaan 100, 8072 CA Nunspeet",121 m^2,461 m^2,6,Makelaardij Van de Weerd,https://www.funda.nl/koop/nunspeet/huis-42641786-oosterlaan-100/,"100, Oosterlaan, Nunspeet, Gelderland, Nederland, 8072CA, Nederland",52.3814442,5.8015121
6,De Buntezoom 80,579.000 k.k.,"De Buntezoom 80, 8071 TT Nunspeet",170 m^2,293 m^2,6,Van de Loosdrecht WBM B.V.,https://www.funda.nl/koop/nunspeet/huis-42640973-de-buntezoom-80/,"80, De Buntezoom, Nunspeet, Gelderland, Nederland, 8071TT, Nederland",52.3853241,5.7818643
7,Ben Viegersstraat 10,345.000 k.k.,"Ben Viegersstraat 10, 8072 ZG Nunspeet",139 m^2,200 m^2,7,Kok & Heijkamp Makelaars,https://www.funda.nl/koop/nunspeet/huis-88004355-ben-viegersstraat-10/,"10, Ben Viegersstraat, Nunspeet, Gelderland, Nederland, 8072ZG, Nederland",52.3868326,5.7961344
8,Meester Drostweg 15,449.000 k.k.,"Meester Drostweg 15, 8071 HE Nunspeet",121 m^2,475 m^2,5,Kok & Heijkamp Makelaars,https://www.funda.nl/koop/nunspeet/huis-88097722-meester-drostweg-15/,"15, Meester Drostweg, Nunspeet, Gelderland, Nederland, 8071HE, Nederland",52.3791234,5.7833815
9,Eperweg 41,795.000 k.k.,"Eperweg 41, 8072 DA Nunspeet",157 m^2,860 m^2,4,Makelaardij Van de Weerd,https://www.funda.nl/koop/nunspeet/huis-42615461-eperweg-41/,"41, Eperweg, Nunspeet, Gelderland, Nederland, 8072DA, Nederland",52.3788389,5.7962127
10,George Breitnerstraat 5,769.000 k.k.,"George Breitnerstraat 5, 8072 HM Nunspeet",204 m^2,759 m^2,6,Makelaardij Van de Weerd,https://www.funda.nl/koop/nunspeet/huis-42603501-george-breitnerstraat-5/,"5, George Breitnerstraat, Nunspeet, Gelderland, Nederland, 8072HM, Nederland",52.3895301,5.7959579
11,Heemskerklaan 46,389.000 k.k.,"Heemskerklaan 46, 8072 AG Nunspeet",117 m^2,250 m^2,5,Bosrijck BV,https://www.funda.nl/koop/nunspeet/huis-88077004-heemskerklaan-46/,"46, Heemskerklaan, Oosteinde, Nunspeet, Gelderland, Nederland, 8072AG, Nederland",52.3831858,5.8066924
12,Notaris Meesterserf 9,325.000 k.k.,"Notaris Meesterserf 9, 8071 HW Nunspeet",83 m^2,118 m^2,3,Kok & Heijkamp Makelaars,https://www.funda.nl/koop/nunspeet/huis-88117228-notaris-meesterserf-9/,"9, Notaris Meesterserf, Nunspeet, Gelderland, Nederland, 8071HW, Nederland",52.3804001,5.785335
13,Seringweg 48,500.000 k.k.,"Seringweg 48, 8072 EM Nunspeet",91 m^2,560 m^2,4,Van de Loosdrecht WBM B.V.,https://www.funda.nl/koop/nunspeet/huis-42626435-seringweg-48/,"48, Seringweg, Nunspeet, Gelderland, Nederland, 8072EM, Nederland",52.3829158,5.7991523
14,Waterweg 23 a,400.000 k.k.,"Waterweg 23 a, 8071 RR Nunspeet",68 m^2,710 m^2,4,Makelaardij Van de Weerd,https://www.funda.nl/koop/nunspeet/huis-42607285-waterweg-23-a/,"23, Waterweg, Nunspeet, Gelderland, Nederland, 8071RR, Nederland",52.3770452,5.7670964
15,Lindelaan 17,379.000 k.k.,"Lindelaan 17, 8071 AV Nunspeet",89 m^2,365 m^2,5,Kok & Heijkamp Makelaars,https://www.funda.nl/koop/nunspeet/huis-88072338-lindelaan-17/,"17, Lindelaan, Nunspeet, Gelderland, Nederland, 8071AV, Nederland",52.3780511,5.7886368
16,Paolalaan 12,789.000 k.k.,"Paolalaan 12, 8072 CP Nunspeet",162 m^2,855 m^2,6,Van den Hardenberg makelaars & taxateurs,https://www.funda.nl/koop/nunspeet/huis-42753953-paolalaan-12/,"12, Paolalaan, Nunspeet, Gelderland, Nederland, 8072CP, Nederland",52.380961,5.8029761
17,Prins Alexandererf 20,325.000 k.k.,"Prins Alexandererf 20, 8071 NP Nunspeet",126 m^2,131 m^2,5,Kok & Heijkamp Makelaars,https://www.funda.nl/koop/nunspeet/huis-88003427-prins-alexandererf-20/,"20, Prins Alexandererf, Nunspeet, Gelderland, Nederland, 8071NP, Nederland",52.3825743,5.7769131
18,Ben Viegersstraat 28,349.000 k.k.,"Ben Viegersstraat 28, 8072 ZH Nunspeet",124 m^2,176 m^2,5,Van den Hardenberg makelaars & taxateurs,https://www.funda.nl/koop/nunspeet/huis-42648394-ben-viegersstraat-28/,"28, Ben Viegersstraat, Nunspeet, Gelderland, Nederland, 8072ZH, Nederland",52.3868152,5.7967104
19,Kaarboom 13,339.000 k.k.,"Kaarboom 13, 8071 MN Nunspeet",112 m^2,127 m^2,3,Van den Hardenberg makelaars & taxateurs,https://www.funda.nl/koop/nunspeet/huis-42648296-kaarboom-13/,"13, Kaarboom, Nunspeet, Gelderland, Nederland, 8071MN, Nederland",52.3885882,5.7924077
20,Jongkindhoek 77,315.000 k.k.,"Jongkindhoek 77, 8072 JS Nunspeet",124 m^2,151 m^2,5,Kok & Heijkamp Makelaars,https://www.funda.nl/koop/nunspeet/huis-88097122-jongkindhoek-77/,"77, Jongkindhoek, Oosteinde, Nunspeet, Gelderland, Nederland, 8072JS, Nederland",52.3879733,5.8045925
21,Nassaulaan 36,345.000 k.k.,"Nassaulaan 36, 8071 NA Nunspeet",116 m^2,172 m^2,5,Kok & Heijkamp Makelaars,https://www.funda.nl/koop/nunspeet/huis-88092616-nassaulaan-36/,"36, Nassaulaan, Nunspeet, Gelderland, Nederland, 8071NA, Nederland",52.3811177,5.7770967
22,Leopoldlaan 5,895.000 k.k.,"Leopoldlaan 5, 8072 CK Nunspeet",173 m^2,1.307 m^2,5,Van de Loosdrecht WBM B.V.,https://www.funda.nl/koop/nunspeet/huis-42629053-leopoldlaan-5/,"5, Leopoldlaan, Nunspeet, Gelderland, Nederland, 8072CK, Nederland",52.3805014,5.8030951
23,Mesdaghout 25,324.000 k.k.,"Mesdaghout 25, 8072 JE Nunspeet",114 m^2,143 m^2,5,Kok & Heijkamp Makelaars,https://www.funda.nl/koop/nunspeet/huis-88083667-mesdaghout-25/,"25, Mesdaghout, Oosteinde, Nunspeet, Gelderland, Nederland, 8072JE, Nederland",52.3874116,5.8034936
24,Oranjelaan 44,379.000 k.k.,"Oranjelaan 44, 8071 LH Nunspeet",124 m^2,196 m^2,5,Kok & Heijkamp Makelaars,https://www.funda.nl/koop/nunspeet/huis-88089385-oranjelaan-44/,"44, Oranjelaan, Nunspeet, Gelderland, Nederland, 8071LH, Nederland",52.3834464,5.7786592
25,Plesmanlaan 29,725.000 k.k.,"Plesmanlaan 29, 8072 PT Nunspeet",163 m^2,497 m^2,6,Kok & Heijkamp Makelaars,https://www.funda.nl/koop/nunspeet/huis-88079753-plesmanlaan-29/,"29, Plesmanlaan, Nunspeet, Gelderland, Nederland, 8072PT, Nederland",52.3707026,5.794056
26,Industrieweg 94,549.000 k.k.,"Industrieweg 94, 8071 CW Nunspeet",115 m^2,501 m^2,4,Kok & Heijkamp Makelaars,https://www.funda.nl/koop/nunspeet/huis-88061642-industrieweg-94/,"94, Industrieweg, Nunspeet, Gelderland, Nederland, 8071CW, Nederland",52.3689116,5.7656037
27,Kruirad 7,389.000 k.k.,"Kruirad 7, 8071 MZ Nunspeet",142 m^2,167 m^2,6,Van den Hardenberg makelaars & taxateurs,https://www.funda.nl/koop/nunspeet/huis-42680070-kruirad-7/,"7, Kruirad, Nunspeet, Gelderland, Nederland, 8071MZ, Nederland",52.3893795,5.7869205
28,Larikserf 31,389.000 k.k.,"Larikserf 31, 8072 MA Nunspeet",118 m^2,282 m^2,6,Kok & Heijkamp Makelaars,https://www.funda.nl/koop/nunspeet/huis-88049279-larikserf-31/,"31, Larikserf, Nunspeet, Gelderland, Nederland, 8072MA, Nederland",52.3826102,5.7922393
29,Wagenweg 22,500.000 k.k.,"Wagenweg 22, 8071 XD Nunspeet",128 m^2,302 m^2,5,Van de Loosdrecht WBM B.V.,https://www.funda.nl/koop/nunspeet/huis-42679390-wagenweg-22/,"22, Wagenweg, Nunspeet, Gelderland, Nederland, 8071XD, Nederland",52.3713935,5.7732352
30,Aarweg 11,700.000 k.k.,"Aarweg 11, 8071 WV Nunspeet",130 m^2,385 m^2,4,HP Makelaardij,https://www.funda.nl/koop/nunspeet/huis-88083012-aarweg-11/,"11, Aarweg, Nunspeet, Gelderland, Nederland, 8071WV, Nederland",52.3766802,5.7801365
31,Bergakkerweg 14 E,349.000 k.k.,"Bergakkerweg 14 E, 8071 CE Nunspeet",90 m^2,,3,Kok & Heijkamp Makelaars,https://www.funda.nl/koop/nunspeet/appartement-88096870-bergakkerweg-14-e/,"Bergakkerweg, Nunspeet, Gelderland, Nederland, 8071CG, Nederland",52.37413,5.78447
32,Dorpsstraat 17 B,549.000 k.k.,"Dorpsstraat 17 B, 8071 BW Nunspeet",144 m^2,,3,Van den Hardenberg makelaars & taxateurs,https://www.funda.nl/koop/nunspeet/appartement-42601852-dorpsstraat-17-b/,"Dorpsstraat, Nunspeet, Gelderland, Nederland, 8071BZ, Nederland",52.3760617,5.7848358
33,Esdoornlaan 41,525.000 k.k.,"Esdoornlaan 41, 8071 AT Nunspeet",104 m^2,453 m^2,5,Vinke Veluwe Makelaars,https://www.funda.nl/koop/nunspeet/huis-42612245-esdoornlaan-41/,"41, Esdoornlaan, Nunspeet, Gelderland, Nederland, 8071AT, Nederland",52.378194,5.7896837
34,Steenzolder 17,500.000 k.k.,"Steenzolder 17, 8071 MR Nunspeet",149 m^2,259 m^2,4,Bosrijck BV,https://www.funda.nl/koop/nunspeet/huis-88001205-steenzolder-17/,"17, Steenzolder, Nunspeet, Gelderland, Nederland, 8071MR, Nederland",52.3893506,5.7929851
35,Veldweg 19,525.000 k.k.,"Veldweg 19, 8071 BD Nunspeet",119 m^2,550 m^2,4,Kok & Heijkamp Makelaars,https://www.funda.nl/koop/nunspeet/huis-88095429-veldweg-19/,"19, Veldweg, Nunspeet, Gelderland, Nederland, 8071BD, Nederland",52.3755345,5.7896309
36,Oosterlaan 124,599.000 k.k.,"Oosterlaan 124, 8072 CB Nunspeet",163 m^2,802 m^2,5,Vinke Veluwe Makelaars,https://www.funda.nl/koop/nunspeet/huis-42657010-oosterlaan-124/,"124, Oosterlaan, Nunspeet, Gelderland, Nederland, 8072CB, Nederland",52.3813126,5.804484
37,Kuyperstraat 22,400.000 k.k.,"Kuyperstraat 22, 8072 BJ Nunspeet",127 m^2,233 m^2,6,IQ Makelaars,https://www.funda.nl/koop/nunspeet/huis-88046886-kuyperstraat-22/,"22, Kuyperstraat, Oosteinde, Nunspeet, Gelderland, Nederland, 8072BJ, Nederland",52.3825003,5.8078636
38,Sibeliusstraat 21,339.000 k.k.,"Sibeliusstraat 21, 8071 VD Nunspeet",108 m^2,144 m^2,5,Makelaardij Van de Weerd,https://www.funda.nl/koop/nunspeet/huis-42631738-sibeliusstraat-21/,"21, Sibeliusstraat, Nunspeet, Gelderland, Nederland, 8071VD, Nederland",52.3801981,5.7747016
